Date,Open,Close,High,Low,Volume
2019-07-30,188.46,186.97,188.46,186.30,402
2019-07-31,194.60,196.68,198.03,192.80,3357
2019-08-01,193.43,196.22,196.78,193.01,603
2019-08-02,187.03,183.98,187.18,182.02,2083
2019-08-05,180.84,176.16,181.64,174.88,587
2019-08-06,173.98,174.44,177.30,172.22,1294
2019-08-07,175.82,176.34,178.14,172.90,1512
2019-08-08,179.28,179.44,179.78,178.02,248
2019-08-09,179.20,179.05,180.30,178.81,232
2019-08-12,181.36,178.99,181.64,177.88,511
2019-08-13,178.58,186.17,189.58,177.50,961
2019-08-14,185.89,183.51,186.86,182.00,1150
2019-08-16,184.46,185.77,186.78,183.46,437
2019-08-19,187.56,190.94,191.40,187.50,730
2019-08-20,190.40,192.15,192.94,189.58,479
2019-08-21,190.98,192.03,192.46,190.53,388
2019-08-22,191.96,191.08,193.08,190.47,602
2019-08-23,191.94,185.96,193.10,184.30,858
2019-08-26,184.24,185.49,186.38,183.64,1300
2019-08-27,185.46,186.16,187.40,185.46,222
2019-08-28,185.00,184.24,185.66,183.54,341
2019-08-29,187.40,187.30,189.01,187.20,849
2019-08-30,190.00,188.90,190.98,188.58,599
2019-09-02,188.42,189.52,190.02,188.07,157
2019-09-03,190.00,188.06,191.10,187.00,413
2019-09-04,189.42,188.72,189.52,188.04,369
2019-09-05,191.56,192.54,192.92,190.66,512
2019-09-06,192.88,193.35,194.82,191.58,547
2019-09-09,194.46,195.44,196.50,193.60,690
2019-09-10,194.30,192.49,195.00,191.80,875
2019-09-11,196.64,201.11,201.11,195.70,2398
2019-09-12,203.95,205.01,208.60,200.35,3049
2019-09-13,201.28,198.28,202.12,197.69,1293
2019-09-16,195.51,199.51,199.95,195.06,507
2019-09-17,199.40,198.27,200.00,197.77,280

