# Sembol Önekleri ve Piyasa Türleri:
# 
# === ANA PIYASALAR ===
# IMKBH': IMKB HISSE - Borsa İstanbul Hisse Senetleri
# IMKBX': IMKB ENDEKS - Borsa İstanbul Endeksleri
# 
# === TÜREV ÜRÜNLER ===
# VIP'O_: VADELI ISLEM VE OPSIYON - Opsiyon Sözleşmeleri
# VIP'TM_: VADELI ISLEM VE OPSIYON - Vadeli İşlem Sözleşmeleri (TürkMen)
# VIP'VIP: VADELI ISLEM VE OPSIYON - VIP Vadeli İşlem Sözleşmeleri
# 
# === ULUSLARARASI PIYASALAR ===
# WBOND': DUNYA BONOLARI - Dünya Tahvil ve Forward Kurları
# WINX': DUNYA ENDEKSLERI - Dünya Borsası Endeksleri (DAX, FTSE, etc.)
# EUREX': EUREX - Avrupa Türev Borsası
# 
# === DİĞER PIYASALAR ===
# FX': FX - Döviz Paritesi
# CRP': KRIPTO PARA - Kripto Para Birimleri
# BNKGS': BANKA GISE KURLARI - Banka Gişe Kurları
# KIYM': KIYMETLI MADENLER - Altın, Gümüş, Platin vb.
# NFT': NFT - Non Fungible Token
# 
# === BANKACILIK VE FAİZ ===
# LIBOR': LIBOR - Londra Bankalararası Faiz Oranları
# INTUSD': INTERBANK - Bankalararası Dolar Piyasası
# OVERN': INTERBANK OVERNIGHT - Gecelik Faiz Oranları
# TCMBK': TCMB KURLAR - Merkez Bankası Kurları
# DOVIZ': DOVIZ BUROLARI - Döviz Büro Kurları
# 
# === ÇEŞİTLİ ===
# DFN': CESITLI PIYASALAR - Çeşitli Finansal Araçlar
# SERPIY': SERBEST PIYASA - Serbest Piyasa İşlemleri
# FUTGCK': GECIKMELI VADELILER - Gecikmeli Vadeli İşlemler
# THVX': TAHVIL - Tahvil İşlemleri
#
symbol,market_type,isin_code,company_name,sector_code,group_code,market_code
CRP'DOGEUSDT_FBNC,KRIPTO PARA,,DOGEUSDT_COIN_PERPETUAL,,,USDT
CRP'DOGEUSDT_ICR,KRIPTO PARA,,DOGEUSDT - ICRYPEX,,,USDT
CRP'DOTTRY_ICR,KRIPTO PARA,,DOTTRY - ICRYPEX,,,TRY
CRP'DOTUSDT_BNC,KRIPTO PARA,,DOTUSDT - BINANCE,,,USDT
CRP'DOTUSDT_ICR,KRIPTO PARA,,DOTUSDT - ICRYPEX,,,USDT
CRP'DUSKICPX_ICR,KRIPTO PARA,,DUSKICPX - ICRYPEX,,,ICPX
CRP'DYDXUSDT_ICR,KRIPTO PARA,,DYDXUSDT - ICRYPEX,,,USDT
CRP'EDISTRY_ICR,KRIPTO PARA,,EDISTRY - ICRYPEX,,,TRY
CRP'EDUTRY_ICR,KRIPTO PARA,,EDUTRY - ICRYPEX,,,TRY
CRP'EDUUSDT_ICR,KRIPTO PARA,,EDUUSDT - ICRYPEX,,,USDT
CRP'EGLDTRY_ICR,KRIPTO PARA,,EGLDTRY - ICRYPEX,,,TRY
CRP'EGLDUSDT_ICR,KRIPTO PARA,,EGLDUSDT - ICRYPEX,,,USDT
CRP'ENJTRY_ICR,KRIPTO PARA,,ENJTRY - ICRYPEX,,,TRY
CRP'ENJUSDT_ICR,KRIPTO PARA,,ENJUSDT - ICRYPEX,,,USDT
CRP'ENSTRY_ICR,KRIPTO PARA,,ENSTRY - ICRYPEX,,,TRY
CRP'ENSUSDT_ICR,KRIPTO PARA,,ENSUSDT - ICRYPEX,,,USDT
CRP'EOSTRY_ICR,KRIPTO PARA,,EOSTRY - ICRYPEX,,,TRY
CRP'EOSUSDT_FBNC,KRIPTO PARA,,EOSUSDT_COIN_PERPETUAL,,,USDT
CRP'EOSUSDT_ICR,KRIPTO PARA,,EOSUSDT - ICRYPEX,,,USDT
CRP'ERNICPX_ICR,KRIPTO PARA,,ERNICPX - ICRYPEX,,,ICPX
CRP'ETCUSDT_BNC,KRIPTO PARA,,ETCUSDT - BINANCE,,,USDT
CRP'ETCUSDT_FBNC,KRIPTO PARA,,ETCUSDT_COIN_PERPETUAL,,,USDT
CRP'ETCUSDT_ICR,KRIPTO PARA,,ETCUSDT - ICRYPEX,,,USDT
CRP'ETHTRY_ICR,KRIPTO PARA,,ETHTRY - ICRYPEX,,,TRY
CRP'ETHUSDT_BNC,KRIPTO PARA,,ETHUSDT - BINANCE,,,USDT
CRP'ETHUSDT_FBNC,KRIPTO PARA,,ETHUSDT_COIN_NEXT_QUARTER,,,USDT
