# Endeks Bileşenleri (Hisse Senedi - Endeks İlişkisi):
# 
# Bu dosya her hisse senedinin hangi endekslerde yer aldığını gösterir.
# 
# === TEMEL ENDEKSLER ===
# XU030: BIST 30 - En likit 30 hisse
# XU050: BIST 50 - En likit 50 hisse
# XU100: BIST 100 - En likit 100 hisse
# XU500: BIST 500 - Geniş pazar endeksi
# XUTUM: BIST TÜM - Tüm hisseler
# 
# === ÖZEL ENDEKSLER ===
# XYLDZ: BIST YILDIZ - Yıldız şirketler
# XHARZ: BIST HALKA ARZ - Halka arz edilen şirketler
# XSD25: BIST SÜRDÜRÜLEBİLİRLİK 25
# XSRDK: BIST KATILIM SÜRDÜRÜLEBİLİRLİK
# 
# === SEKTÖREL ENDEKSLER ===
# XBANK: BIST BANKA
# XBLSM: BIST BİLİŞİM
# XELKT: BIST ELEKTRİK
# XGIDA: BIST GIDA İÇECEK
# XGMYO: BIST GAYRİMENKUL Y.O.
# XHOLD: BIST HOLDİNG VE YATIRIM
# XTEKS: BIST TEKSTİL DERİ
# XTAST: BIST TAŞ TOPRAK
#
stock_symbol,indices
CANTE,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XKURY,XUHIZ,XELKT"
CATES,"XU500,XUTUM,XTUMY,XYLDZ,XHARZ,XKURY,XUHIZ,XELKT"
CCOLA,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XTM25S,XUSIN,XSINS,XGIDA,XSIST"
CELHA,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMANA,XSKOC"
CEMAS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA"
CEMTS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMANA,XSBUR"
CEMZY,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XGIDA,XSBAL"
CEOEM,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XSIST"
CGCAM,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XTAST,XSMNS"
CIMSA,"XU100,XU050,XU030,XU500,XUTUM,X100S,X100C,X030S,X030C,X030EA,XK030EA,XYLDZ,XTMTU,XTM25,XKTUM,XK100,XK050,XK030,XSRDK,XKTMT,XUSRD,XSD25,XTM25S,XUSIN,XSINS,XTAST"
CLEBI,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XYLDZ,XTMTU,XUHIZ,XULAS,XSIST"
CMBTN,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XTAST,XSIZM"
CONSE,"XU500,XUTUM,XTUMY,XBANA,XKURY,XUSRD,XUHIZ,XELKT,XSIST"
COSMO,"XUTUM,XTUMY,XKTUM,XUMAL,XHOLD,XSIST"
CRDFA,"XUTUM,XTUMY,XKURY,XUMAL,XFINK"
CRFSA,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTCRT"
CUSAN,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA,XSIST"
CVKMD,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XK050,XUSIN,XSINS,XMADN,XSBUR"
CWENE,"XU100,XU500,XUTUM,XYUZO,X100S,X100C,XK030EA,XYLDZ,XKTUM,XK100,XK050,XK030,XUHIZ,XELKT,XSANT"
DAGI,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS,XSIST"
DAPGM,"XU500,XUTUM,XTUMY,XYLDZ,XKTUM,XK100,XK050,XUHIZ,XINSA,XSIST"
DARDL,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XGIDA"
DCTTR,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUHIZ,XTCRT,XSIST"
DENGE,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
DERHL,"XU500,XUTUM,XTUMY,XBANA,XUMAL,XHOLD,XSIST"
DERIM,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS,XSIST"
DESA,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XTEKS"
DESPC,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
DEVA,"XU500,XUTUM,XTUMY,XYLDZ,XUSIN,XSINS,XKMYA,XSTKR"
DGATE,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
DGGYO,"XUTUM,XTUMY,XKURY,XUMAL,XGMYO,XGYOS"
DGNMO,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XKURY,XUSIN,XSINS,XKAGT"
DITAS,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMESY"
DMRGD,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XUSIN,XSINS,XGIDA,XSIST"
DMSAS,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XUSIN,XSINS,XMANA"
DNISI,"XU500,XUTUM,XTUMY,XBANA,XKOBI,XUSIN,XSINS,XKMYA,XSIZM"
DOAS,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XTMTU,XTM25,XKURY,XUSRD,XSD25,XTM25S,XUHIZ,XTCRT,XSIST"
DOBUR,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XSIST"
DOCO,"XU500,XUTUM,XTUMY,XBANA,XUHIZ,XTRZM"
DOFER,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XMANA"
DOFRB,"XUTUM,XTUMY,XYLDZ,XHARZ,XKTUM,XUTEK,XTKJS,XBLSM,XSIST"
DOGUB,"XUTUM,XTUMY,XKOBI,XKTUM,XUSIN,XSINS,XTAST"
DOHOL,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XTMTU,XKURY,XUSRD,XUGRA,XUMAL,XHOLD,XSIST"
DOKTA,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XMANA,XSBUR"
DSTKF,"XU100,XU050,XU500,XUTUM,XELOT,XELOS,XELOC,XYUZO,X100S,X100C,XYLDZ,XHARZ,XUMAL,XFINK"
DURDO,"XU500,XUTUM,XTUMY,XBANA,XUSIN,XSINS,XKAGT,XSIST"
DURKN,"XU500,XUTUM,XTUMY,XBANA,XHARZ,XKTUM,XUSIN,XSINS,XGIDA,XSANK"
DYOBY,"XU500,XUTUM,XTUMY,XBANA,XKTUM,XK100,XUSIN,XSINS,XKMYA,XSKOC"
